RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
1,"Stephen Curry, PG",GS,51,26.4,5.5,5.9,278,302,0.921
2,"Chris Paul, PG",HOU,58,18.6,3.5,3.8,203,221,0.919
3,"Damian Lillard, PG",POR,73,26.9,6.8,7.4,493,538,0.916
4,"Marco Belinelli, SG",ATL/PHI,80,12.1,1.9,2,148,163,0.908
5,"Jamal Murray, PG",DEN,81,16.7,2.8,3.1,229,253,0.905
6,"JJ Redick, SG",PHI,70,17.1,2.8,3.1,197,218,0.904
7,"Kyrie Irving, PG",BOS,60,24.4,3.9,4.4,232,261,0.889
8,"Kevin Durant, SF",GS,68,26.4,5.3,5.9,359,404,0.889
9,"Khris Middleton, SF",MIL,82,20.1,3.9,4.4,320,362,0.884
10,"Darren Collison, PG",IND,69,12.4,1.8,2.1,127,144,0.882
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
11,"Lou Williams, SG",LAC,79,22.6,5.5,6.2,432,491,0.88
12,"Kevin Love, C",CLE,59,17.6,4,4.5,234,266,0.88
13,"Devin Booker, SG",PHX,54,24.9,5.4,6.1,289,329,0.878
14,"Bojan Bogdanovic, SF",IND,80,14.3,2.2,2.6,178,205,0.868
15,"D.J. Augustin, PG",ORL,75,10.2,2.2,2.5,164,189,0.868
16,"Jeff Green, SF",CLE,78,10.8,2.6,3,203,234,0.868
17,"Evan Fournier, SG",ORL,57,17.8,2.6,3,150,173,0.867
18,"Ricky Rubio, PG",UTAH,77,13.1,2.9,3.3,220,254,0.866
19,"Kemba Walker, PG",CHA,80,22.1,4.5,5.3,363,420,0.864
20,"Jeremy Lamb, SG",CHA,80,12.9,2.2,2.6,179,208,0.861
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
21,"Dario Saric, PF",PHI,78,14.6,2.3,2.7,178,207,0.86
22,"James Harden, PG",HOU,72,30.4,8.7,10.1,624,727,0.858
23,"Karl-Anthony Towns, C",MIN,82,21.3,4.2,4.9,345,402,0.858
24,"Kyle Lowry, PG",TOR,78,16.2,2.9,3.3,223,261,0.854
25,"Jimmy Butler, SG",MIN,59,22.2,6.2,7.2,363,425,0.854
26,"Nikola Jokic, C",DEN,75,18.5,3.5,4.2,266,313,0.85
27,"Dennis Schroder, PG",ATL,67,19.4,3.4,4,225,265,0.849
28,"Enes Kanter, C",NY,71,14.1,2.2,2.6,156,184,0.848
29,"Jeff Teague, PG",MIN,70,14.2,2.9,3.4,202,239,0.845
30,"Taurean Prince, SF",ATL,82,14.1,1.9,2.2,152,180,0.844
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
31,"Lauri Markkanen, PF",CHI,68,15.2,2.1,2.4,140,166,0.843
32,"LaMarcus Aldridge, PF",SA,75,23.1,4.5,5.3,334,399,0.837
33,"CJ McCollum, SG",POR,81,21.4,2.6,3.1,209,250,0.836
34,"Devin Harris, PG",DAL/DEN,71,8.4,2,2.4,142,170,0.835
35,"Marc Gasol, C",MEM,73,17.2,3.8,4.6,281,337,0.834
36,"Tobias Harris, SF",DET/LAC,80,18.6,2.2,2.7,179,216,0.829
37,"Anthony Davis, PF",NO,75,28.1,6.6,8,495,598,0.828
38,"Harrison Barnes, SF",DAL,77,18.9,3.4,4.1,259,313,0.827
39,"Gary Harris, SG",DEN,67,17.5,2,2.4,134,162,0.827
40,"Jayson Tatum, SF",BOS,80,13.9,2.7,3.2,213,258,0.826
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
41,"DeMar DeRozan, SG",TOR,80,23,5.8,7,461,559,0.825
42,"Justin Holiday, SG",CHI,72,12.2,1.9,2.3,135,164,0.823
43,"Paul George, SF",OKC,79,21.9,4.3,5.2,338,411,0.822
44,"Kelly Oubre Jr., SF",WSH,81,11.8,2.4,2.9,191,233,0.82
45,"Tim Hardaway Jr., SF",NY,57,17.5,2.6,3.1,146,179,0.816
46,"Spencer Dinwiddie, PG",BKN,80,12.6,2.7,3.4,218,268,0.813
47,"Eric Gordon, SG",HOU,69,18,2.8,3.5,195,241,0.809
48,"Jonas Valanciunas, C",TOR,77,12.7,2.2,2.7,170,211,0.806
49,"Will Barton, SF",DEN,81,15.7,2.2,2.8,182,226,0.805
50,"Donovan Mitchell, SG",UTAH,79,20.5,3,3.8,239,297,0.805
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
51,"Goran Dragic, PG",MIA,75,17.3,2.9,3.6,217,271,0.801
52,"Jordan Clarkson, PG",CLE/LAL,81,13.9,1.9,2.3,152,190,0.8
53,"Frank Kaminsky, PF",CHA,79,11.1,2,2.5,155,194,0.799
54,"Victor Oladipo, SG",IND,75,23.1,3.9,4.9,294,368,0.799
55,"Kent Bazemore, SG",ATL,65,12.9,2.5,3.1,160,201,0.796
56,"Eric Bledsoe, PG",MIL/PHX,74,17.7,3.4,4.3,252,317,0.795
57,"Kristaps Porzingis, PF",NY,48,22.7,4.5,5.7,218,275,0.793
58,"Bradley Beal, SG",WSH,82,22.6,3.6,4.5,292,369,0.791
59,"Kentavious Caldwell-Pope, SG",LAL,74,13.4,2.1,2.6,153,194,0.789
60,"Rondae Hollis-Jefferson, SF",BKN,68,13.9,3.7,4.6,249,316,0.788
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
61,"Jrue Holiday, PG",NO,81,19,2.3,2.9,187,238,0.786
62,"Blake Griffin, PF",DET/LAC,58,21.4,4.5,5.7,259,330,0.785
63,"Tyreke Evans, SG",MEM,52,19.4,3.2,4,164,209,0.785
64,"Myles Turner, C",IND,65,12.7,2.5,3.2,160,206,0.777
65,"Draymond Green, PF",GS,70,11,1.9,2.5,134,173,0.775
66,"Kelly Olynyk, PF",MIA,76,11.5,1.8,2.3,134,174,0.77
67,"Joel Embiid, C",PHI,63,22.9,5.7,7.4,359,467,0.769
68,"Jonathon Simmons, SF",ORL,69,13.9,2.7,3.5,185,241,0.768
69,"Taj Gibson, PF",MIN,82,12.2,1.7,2.3,142,185,0.768
70,"Carmelo Anthony, F",OKC,78,16.2,1.9,2.5,148,193,0.767
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
71,"DeMarre Carroll, SF",BKN,73,13.5,2.6,3.4,188,246,0.764
72,"Giannis Antetokounmpo, PF",MIL,75,26.9,6.5,8.5,487,641,0.76
73,"TJ Warren, SF",PHX,65,19.6,3,3.9,193,255,0.757
74,"Pau Gasol, C",SA,77,10.1,2.1,2.7,158,209,0.756
75,"Domantas Sabonis, C",IND,74,11.6,2.3,3,168,224,0.75
76,"DeMarcus Cousins, C",NO,48,25.2,6.1,8.2,294,394,0.746
77,"Jerian Grant, PG",CHI,74,8.4,1.9,2.5,140,188,0.745
78,"Russell Westbrook, PG",OKC,80,25.4,5.2,7.1,417,566,0.737
79,"LeBron James, SF",CLE,82,27.5,4.7,6.5,388,531,0.731
80,"John Wall, PG",WSH,41,19.4,4.3,5.9,175,241,0.726
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
81,"De'Aaron Fox, PG",SAC,73,11.6,1.9,2.7,141,195,0.723
82,"Bam Adebayo, C",MIA,69,6.9,1.9,2.6,129,179,0.721
83,"Dwight Powell, C",DAL,79,8.5,1.7,2.3,133,185,0.719
84,"Julius Randle, PF",LAL,82,16.1,3.7,5.2,305,425,0.718
85,"John Collins, PF",ATL,74,10.5,1.8,2.5,133,186,0.715
86,"Dwyane Wade, SG",CLE/MIA,67,11.4,2,2.8,135,189,0.714
87,"Caris LeVert, SG",BKN,71,12.1,1.9,2.6,133,187,0.711
88,"Kyle Kuzma, PF",LAL,77,16.1,1.9,2.7,147,208,0.707
89,"Hassan Whiteside, C",MIA,54,14,2.4,3.4,128,182,0.703
90,"Aaron Gordon, PF",ORL,58,17.6,2.7,3.9,157,225,0.698
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
91,"Dennis Smith Jr., PG",DAL,69,15.2,1.9,2.8,134,193,0.694
92,"Alex Len, C",PHX,69,8.5,2.3,3.3,158,231,0.684
93,"Rudy Gobert, C",UTAH,56,13.5,3.6,5.3,204,299,0.682
94,"Brandon Ingram, SF",LAL,59,16.1,3.3,4.8,192,282,0.681
95,"Jerami Grant, SF",OKC,81,8.4,2,3,162,240,0.675
96,"David Nwaba, SF",CHI,70,7.9,1.9,2.9,133,203,0.655
97,"Derrick Favors, PF",UTAH,77,12.3,1.8,2.8,140,215,0.651
98,"Jaylen Brown, SG",BOS,70,14.5,2.1,3.3,150,233,0.644
99,"Andrew Wiggins, SF",MIN,82,17.7,2.5,3.8,202,314,0.643
100,"Josh Jackson, SG",PHX,77,13.1,2.3,3.6,177,279,0.634
,PER GAME,TOTAL,,,,,,,
RK,PLAYER,TEAM,GP,PPG,FTM,FTA,FTM,FTA,FT%
101,"Jusuf Nurkic, C",POR,79,14.3,2.2,3.5,172,273,0.63
102,"Montrezl Harrell, PF",LAC,76,11,1.8,2.9,139,222,0.626
103,"Willie Cauley-Stein, C",SAC,73,12.8,2.1,3.4,153,247,0.619
104,"Andre Drummond, C",DET,78,15,3.1,5.1,239,395,0.605
105,"DeAndre Jordan, C",LAC,77,12,2.4,4.1,181,312,0.58
106,"Dwight Howard, C",CHA,81,16.6,4.1,7.2,334,582,0.574
107,"Clint Capela, C",HOU,74,13.9,1.9,3.5,144,257,0.56
108,"Ben Simmons, PG",PHI,81,15.8,2.4,4.2,191,341,0.56
109,"Steven Adams, C",OKC,76,13.9,2.1,3.8,160,286,0.559
